0,1
1001,1147
1002,3053
1003,3036
1004,2822
1005,3024
1006,3190
1007,3040
1008,2876
1009,2893
1010,3988
1011,3820
1012,792
1013,3921
1014,4105
1015,3057
1016,184
1017,4189
1018,4187
1019,1829
1020,2892
1021,2896
1022,97
1023,2878
1024,2977
1025,3238
1026,3925
1027,3059
1028,2844
1029,3021
1030,3039
1031,3003
1032,2947
1033,2956
1034,3055
1035,796
1036,4107
1037,3987
1038,4209
1039,4007
1040,4008
1041,2820
1042,3023
1043,3194
1044,70
1045,72
1046,2974
1047,3135
1048,2
1049,3124
1050,3127
1051,3138
1052,3292
1053,3591
1054,3026
1055,4188
1056,214
1057,213
1058,793
1059,4269
1060,4289
1061,4290
1062,3051
1063,185
1064,3054
1065,180
1066,2527
1067,3002
1068,2854
1069,2851
1070,2846
1071,2999
1072,3986
1073,857
1074,100
1075,4273
1076,4268
1077,4295
1078,4288
1079,3189
1080,3031
1081,3001
1082,3989
1083,3022
1084,2986
1085,2000
1086,4108
1087,3052
1088,3005
1089,3060
1090,1074
1091,898
1092,897
1093,896
1094,98
1095,853
1096,71
1097,2894
1098,3188
1099,3061
1100,76
1101,794
1102,795
1103,854
1104,899
1105,406
1106,855
1107,2976
1108,2972
1109,3028
1110,2845
1111,2891
1112,2944
1113,205
1114,206
1115,3128
1116,3927
1117,4106
1118,4109
1119,856
1120,3137
1121,4154
1122,203
1123,75
1124,2957
1125,2980
1126,207
1127,4500
1128,204
1129,74
1130,99
1131,3926
1132,463
1133,4123
1134,468
1135,4291
1136,1627
1137,2861
1138,4663
1139,4662
1140,4598
1141,4606
